Date,Open,High,Low,Close,Adj Close,Volume
2022-01-25,4366.64,4411.01,4287.11,4356.45,4356.45,5145050000
2022-01-26,4408.43,4453.23,4304.8,4349.93,4349.93,5570640000
2022-01-27,4380.58,4428.74,4309.5,4326.51,4326.51,5214200000
2022-01-28,4336.19,4432.72,4292.46,4431.85,4431.85,5031090000
2022-01-31,4431.79,4516.89,4414.02,4515.55,4515.55,5098610000
2022-02-01,4519.57,4550.49,4483.53,4546.54,4546.54,4816830000
2022-02-02,4566.39,4595.31,4544.32,4589.38,4589.38,4481580000
2022-02-03,4535.41,4542.88,4470.39,4477.44,4477.44,4401970000
2022-02-04,4482.79,4539.66,4451.5,4500.53,4500.53,4706290000
2022-02-07,4505.75,4521.86,4471.47,4483.87,4483.87,4228480000
2022-02-08,4480.02,4531.32,4465.4,4521.54,4521.54,4459620000
